scenario,policy,seed,weighted_goodput,weighted_goodput_ratio,sla_success_ratio,completion_ratio,p95_latency,avg_latency,dropped,arrived,steps,optimal_weighted_goodput,optimality_gap
small_optimal,wpr_fixed_gamma,20310817,3.8,0.5,0.5,0.5,16.720766067504883,16.720766067504883,0.0,2.0,9.0,3.8,0.0
small_optimal,wpr_a2c,20310817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,3.8,1.0
small_optimal,random,20310917,10.5,0.49295774647887325,0.5,0.5,20.213193130493163,19.738775889078777,0.0,6.0,23.0,10.5,0.0
small_optimal,edf,20310917,10.5,0.49295774647887325,0.5,0.5,19.52468090057373,18.53681182861328,1.0,6.0,25.0,10.5,0.0
small_optimal,greedy,20310917,10.5,0.49295774647887325,0.5,0.5,20.78861083984375,19.441975275675457,0.0,6.0,23.0,10.5,0.0
small_optimal,vanilla_rl,20310917,10.5,0.49295774647887325,0.5,0.5,19.52468090057373,18.53681182861328,1.0,6.0,25.0,10.5,0.0
small_optimal,wpr_no_progress,20310917,7.3,0.3427230046948357,0.3333333333333333,0.3333333333333333,19.36801223754883,19.335712432861328,0.0,6.0,25.0,10.5,0.3047619047619048
small_optimal,wpr_no_demand,20310917,7.0,0.32863849765258213,0.3333333333333333,0.3333333333333333,24.33535108566284,20.103203773498535,0.0,6.0,29.0,10.5,0.3333333333333333
small_optimal,wpr_no_residency,20310917,10.5,0.49295774647887325,0.5,0.5,19.63794822692871,18.63262112935384,0.0,6.0,24.0,10.5,0.0
small_optimal,wpr_fixed_gamma,20310917,7.0,0.32863849765258213,0.3333333333333333,0.3333333333333333,22.51622133255005,20.544289588928223,0.0,6.0,24.0,10.5,0.3333333333333333
small_optimal,wpr_a2c,20310917,10.5,0.49295774647887325,0.5,0.5,23.750371551513673,21.035770416259766,0.0,6.0,24.0,10.5,0.0
light,random,20310724,3.2,0.06490872210953348,0.07692307692307693,0.23076923076923078,34.1234748840332,28.766285578409832,9.0,13.0,57.0,0.0,0.0
light,edf,20310724,14.7,0.29817444219066935,0.3076923076923077,0.3076923076923077,25.229614734649658,20.83287239074707,7.0,13.0,59.0,0.0,0.0
light,greedy,20310724,7.7,0.15618661257606492,0.15384615384615385,0.23076923076923078,25.577639198303224,24.938012440999348,8.0,13.0,58.0,0.0,0.0
light,vanilla_rl,20310724,10.5,0.2129817444219067,0.23076923076923078,0.23076923076923078,21.828929710388184,21.290722529093426,8.0,13.0,58.0,0.0,0.0
light,wpr_no_progress,20310724,7.7,0.15618661257606492,0.15384615384615385,0.23076923076923078,29.254962348937987,24.291593551635742,7.0,13.0,55.0,0.0,0.0
