scenario,policy,train_seed,episode,weighted_completed_value,weighted_goodput,weighted_goodput_rate,sla_success_ratio,p95_latency,demand_loss,mean_abs_advantage,policy_entropy
moderate,vanilla_a2c,20260717,23.0,44.7,44.7,0.5891185360883211,0.75,27.0319411277771,0.0,1.709898487037542,1.2277974884730267
moderate,vanilla_a2c,20260717,24.0,48.7,48.7,0.6671798241919485,0.7647058823529411,29.85107727050781,0.0,2.92475292702084,1.2302390281564717
moderate,vanilla_a2c,20260717,25.0,49.60000000000001,49.60000000000001,0.7518404940579821,1.0,23.9975616455078,0.0,2.8795310999896073,0.9917804536326043
moderate,vanilla_a2c,20260717,26.0,44.400000000000006,44.400000000000006,0.6145452453420531,1.0,21.5851037979126,0.0,1.7566758880148763,0.9366212464584345
moderate,vanilla_a2c,20260717,27.0,42.300000000000004,42.300000000000004,0.5203339819900449,0.55,31.225371360778805,0.0,2.0514381625331364,1.1928829288220197
moderate,vanilla_a2c,20260717,28.0,50.00000000000001,50.00000000000001,0.5881031417616879,0.9285714285714286,29.134378814697264,0.0,2.659856827259064,1.0864174295114053
moderate,vanilla_a2c,20260717,29.0,42.80000000000001,42.80000000000001,0.6077846959540287,0.9230769230769231,26.077208709716793,0.0,1.944385403014244,1.0883666199752713
moderate,vanilla_a2c,20260717,30.0,48.20000000000001,48.20000000000001,0.6917980441378769,0.7647058823529411,30.24685583114624,0.0,2.7349623584498963,1.0568255827374216
moderate,vanilla_a2c,20260717,31.0,47.2,47.2,0.6087756375287039,0.8666666666666667,25.8091796875,0.0,1.917385272681713,1.0249555779066328
moderate,vanilla_a2c,20260717,32.0,44.800000000000004,44.800000000000004,0.5905838067104311,1.0,26.14899206161499,0.0,2.3174736866863763,0.7864712793010624
moderate,vanilla_a2c,20260717,33.0,50.2,50.2,0.6539733354130933,0.8235294117647058,28.692987155914306,0.0,1.594018564891007,1.2920704721178125
