scenario,policy,train_seed,episode,weighted_completed_value,weighted_goodput,weighted_goodput_rate,sla_success_ratio,p95_latency,demand_loss,mean_abs_advantage,policy_entropy
light,vanilla_a2c,20260717,20.0,24.200000000000003,24.200000000000003,0.39800262824907173,1.0,17.61410598754883,0.0,0.730621321270099,0.6787048542571904
light,vanilla_a2c,20260717,21.0,24.699999999999996,24.699999999999996,0.5759292981277597,1.0,15.914687919616698,0.0,1.4340083637833596,0.7405657248948002
light,vanilla_a2c,20260717,22.0,19.7,19.7,0.3386837095784774,1.0,20.400230407714844,0.0,1.0467949973212347,0.7722875507250007
light,vanilla_a2c,20260717,23.0,22.9,22.9,0.5191279834989295,0.8571428571428571,29.33284225463867,0.0,2.6271406022401957,0.8154180098772789
light,vanilla_a2c,20260717,24.0,30.599999999999998,30.599999999999998,0.518816710780121,1.0,22.169665718078612,0.0,1.8042947692175706,0.6869738903004773
light,vanilla_a2c,20260717,25.0,25.6,25.6,0.460216655658534,1.0,20.604845046997067,0.0,1.0705590037738575,0.849135071208378
light,vanilla_a2c,20260717,26.0,22.6,22.6,0.4524245195430298,1.0,17.39110040664673,0.0,1.2906633209098468,0.785814629465648
light,vanilla_a2c,20260717,27.0,31.099999999999998,31.099999999999998,0.5471547485178724,0.8,24.974149513244626,0.0,1.9384046216805777,0.915147998925604
light,vanilla_a2c,20260717,28.0,22.0,22.0,0.43099511074608476,1.0,19.996062755584717,0.0,1.5769657980312,0.8310421409103964
light,vanilla_a2c,20260717,29.0,22.2,22.2,0.4314932093889944,1.0,18.432231426239014,0.0,1.4583094851537184,0.7621504077013824
light,vanilla_a2c,20260717,30.0,33.6,33.6,0.5941698031002279,0.8181818181818182,22.137693023681642,0.0,2.2650758484378457,0.8276254146101805
light,vanilla_a2c,20260717,31.0,21.8,21.8,0.6015992620809998,0.75,26.426673412322998,0.0,1.0513779748053778,0.9841121384631751
light,vanilla_a2c,20260717,32.0,21.5,21.5,0.4694970548924894,1.0,19.66993999481201,0.0,0.9116274300548766,0.9126735139051299
light,vanilla_a2c,20260717,33.0,31.700000000000003,31.700000000000003,0.5484628080947835,0.9,19.440519332885742,0.0,1.7048415017850471,0.9399185817542021
light,vanilla_a2c,20260717,34.0,33.099999999999994,33.099999999999994,0.5491961893473812,1.0,18.405598449707032,0.0,2.1526507567614317,0.7944289042468147
light,vanilla_a2c,20260717,35.0,10.7,10.7,0.21517477867500617,1.0,16.839409828186035,0.0,2.603820338845253,0.8942801464974668
light,vanilla_a2c,20260717,36.0,25.1,25.1,0.4252950477770968,1.0,22.749965667724602,0.0,3.0677499651908873,0.9058136046730612
light,vanilla_a2c,20260717,37.0,37.400000000000006,37.400000000000006,0.6585869896406046,0.8333333333333334,20.422607421874996,0.0,1.9042704457586461,0.8535527098716321
light,vanilla_a2c,20260717,38.0,39.900000000000006,39.900000000000006,0.7132806779429205,0.7857142857142857,22.430919647216797,0.0,2.1474523377769135,0.766027350574864
light,vanilla_a2c,20260717,39.0,17.5,17.5,0.30291297388263877,1.0,18.639488220214844,0.0,1.3230981701298763,0.7383788769343971
light,vanilla_a2c,20260717,40.0,25.1,25.1,0.5829658020065008,1.0,22.011853981018064,0.0,1.2279116697609425,0.8521794659693334
light,vanilla_a2c,20260717,41.0,22.3,22.3,0.4369662455552544,1.0,22.376670837402344,0.0,0.9583806565829686,0.7702033085174175
